"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.917752417E0,5.013278447E-2,4.241160929E-2,4.324495447E-1,4.374067322E-1
2.927770417E0,2.779261999E-2,2.299891180E-1,5.102315462E-1,5.603602902E-1
2.937788917E0,1.634464882E-2,3.487484068E-1,3.558059961E-1,4.984882201E-1
2.947807917E0,1.198072560E-2,2.774322563E-1,2.988137698E-1,4.079238454E-1
2.957825917E0,3.414379254E-2,2.177146429E-1,3.274288738E-1,3.946835843E-1
2.967844917E0,8.420005158E-2,1.334170890E-1,3.520240170E-1,3.857598694E-1
2.977863917E0,1.352107955E-1,1.102141678E-2,3.587366205E-1,3.835301732E-1
2.987881917E0,1.134582762E-1,-6.172496259E-2,3.552534342E-1,3.780049655E-1
2.997900917E0,8.154658511E-2,-1.236972624E-1,3.590956396E-1,3.884591827E-1
3.007918917E0,8.626938120E-2,-1.851778114E-1,4.061423367E-1,4.546260283E-1
3.017937917E0,1.124910736E-1,-2.598297983E-1,4.073117799E-1,4.960530735E-1
